,Infected asymptomatic,Infected symptomatic,Critical Cases,Diseased,Susceptible,Isolated,Recovered,total infected,accumulated cases,critical cases recovery rate,death rate,deimmunization rate,infected asymptomatic recovery rate,infected critical case rate,infected symptomatic recovery rate,infection rate,infection rate asymptomatic self,infection rate quarantined self,infection rate symptomatic self,isolated recovery rate,isolation rate asymptomatic,isolation rate symptomatic,isolated critical case rate,symptomatic rate,new cases,contact infectivity asymptomatic self,contact infectivity quarantine self,contact infectivity symptomatic self,fraction of symptomatic,non controlled population,incidence per 100000,case fatality rate,total infection rate,contacts per person symptomatic self,init total population
287.0,8717.035247365817,3460.4595924598675,467.8246354762149,210797.71040678828,3535823.6621401976,0.0,4240734.307977743,12177.494839825684,5278081.466116924,28.069478128572893,18.712985419048596,11779.817522160398,435.85176236829085,69.20919184919735,622.8827266427762,1778.514967801466,1483.9651906598026,0.0,294.5497771416633,0.0,0.0,0.0,0.0,871.7035247365817,871.7035247365817,0.375,0.03749999999999999,0.1875,0.28416843020476307,7788735.464957766,65976.01007946029,0.03993832072506297,1778.514967801466,15.0,8000001
288.0,9203.021834387213,3645.692217170135,490.9299057217534,210816.87363400377,3545759.8634429267,0.0,4230084.618965821,12848.714051557348,5278976.83212448,29.455794343305207,19.63719622887014,11750.235052682838,460.15109171936064,72.9138443434027,656.2245990906242,1882.299717633337,1571.109457308692,0.0,311.1902603246448,0.0,0.0,0.0,0.0,920.3021834387213,920.3021834387213,0.375,0.03749999999999999,0.1875,0.28373985151675574,7788693.196460306,65987.20215315573,0.03993517689850559,1882.299717633337,15.0,8000001
289.0,9720.954571698116,3842.868867225161,515.475435581691,210836.98911123423,3555559.4295183616,0.0,4219525.282495925,13563.823438923277,5279922.351003894,30.92852613490146,20.619017423267643,11720.903562488682,486.04772858490577,76.85737734450322,691.716396100529,1993.0546593638574,1664.1252747824915,0.0,328.92938458136587,0.0,0.0,0.0,0.0,972.0954571698115,972.0954571698115,0.375,0.03749999999999999,0.1875,0.2833175235971824,7788648.53545321,65999.02113767104,0.039931835185255504,1993.0546593638574,15.0,8000001
290.0,10273.088649087156,4052.82388039351,541.5594191335454,210858.11635918915,3565215.404721868,0.0,4209060.006970361,14325.912529480665,5280921.327051451,32.49356514801272,21.662376765341815,11691.833352695447,513.6544324543578,81.0564776078702,729.5082984708318,2111.276168815965,1763.4315383381172,0.0,347.8446304778476,0.0,0.0,0.0,0.0,1027.3088649087156,1027.3088649087156,0.375,0.03749999999999999,0.1875,0.28290162124425805,7788601.32422171,66011.5083367046,0.03992828207439319,2111.276168815965,15.0,8000001
291.0,10861.842731002267,4276.452294896428,569.2871624583064,210880.3189646839,3574720.3303871714,0.0,4198692.768459823,15138.295025898695,5281977.298036564,34.157229747498384,22.77148649833226,11663.035467943953,543.0921365501133,85.52904589792857,769.761413081357,2237.4961738450893,1869.4771372950954,0.0,368.0190365499938,0.0,0.0,0.0,0.0,1086.1842731002266,1086.1842731002266,0.375,0.03749999999999999,0.1875,0.2824923340164956,7788551.3938728925,66024.70797236856,0.039924503091498156,2237.4961738450893,15.0,8000001
292.0,11489.810295797823,4514.714187099903,598.7716034116511,210903.6648752369,3584066.208906381,0.0,4188427.830132109,16004.524482897727,5283094.052102128,35.926296204699064,23.950864136466045,11634.52175036697,574.4905147898911,90.29428374199806,812.6485536779826,2372.2844833233403,1982.7429105264666,0.0,389.5415727968737,0.0,0.0,0.0,0.0,1148.9810295797822,1148.9810295797822,0.375,0.03749999999999999,0.1875,0.28208986726998864,7788498.563521388,66038.66739644317,0.0399204827313871,2372.2844833233403,15.0,8000001
293.0,12159.771606405366,4768.6392801058455,630.1338670825031,210928.2267151552,3593244.465486985,0.0,4178269.763044301,16928.41088651121,5284275.645829797,37.80803202495019,25.205354683300126,11606.30489734528,607.9885803202683,95.37278560211692,858.3550704190523,2516.2512165323847,2103.743683870541,0.0,412.5075326618435,0.0,0.0,0.0,0.0,1215.9771606405366,1215.9771606405366,0.375,0.03749999999999999,0.1875,0.2816944432690704,7788442.639417797,66053.4373161928,0.03991620438680444,2516.2512165323847,15.0,8000001
294.0,12874.706314779987,5039.331831538964,663.5038587813888,210954.0821245688,3602245.9074923606,0.0,4168223.468378006,17914.03814631895,5285526.42353356,39.81023152688333,26.540154351255552,11578.398523272239,643.7353157389994,100.78663663077928,907.0797296770136,2670.0493262557325,2233.0303832267246,0.0,437.0189430290079,0.0,0.0,0.0,0.0,1287.4706314779987,1287.4706314779987,0.375,0.03749999999999999,0.1875,0.2813063023746249,7788383.414016685,66069.07203553549,0.03991165027296158,2670.0493262557325,15.0,8000001
295.0,13637.806694583433,5327.975807182141,699.020896368658,210981.31412295526,3611060.6812807037,0.0,4158294.2011982445,18965.782501765574,5286851.037844732,41.94125378211948,27.960835854746318,11550.81722555068,681.8903347291716,106.55951614364282,959.0356452927854,2834.377205945842,2371.1922145400786,0.0,463.18499140576347,0.0,0.0,0.0,0.0,1363.7806694583433,1363.7806694583433,0.375,0.03749999999999999,0.1875,0.28092570431439595,7788320.664980713,66085.62971235544,0.039906801347852065,2834.377205945842,15.0,8000001
296.0,14452.491486799492,5635.840344966867,736.834383667377,211010.01149875956,3619678.2264687857,0.0,4148487.5958170574,20088.331831766358,5288254.471650609,44.21006302004262,29.473375346695082,11523.576655047382,722.6245743399746,112.71680689933734,1014.4512620940361,3009.9813678497153,2518.8588988202096,0.0,491.12246902950557,0.0,0.0,0.0,0.0,1445.2491486799493,1445.2491486799493,0.375,0.03749999999999999,0.1875,0.28055292953966054,7788254.154117609,66103.17263273602,0.0399016372283041,3009.9813678497153,15.0,8000001
